ics;dcs;l2cs;icw;dcw;l2cw;iwidth;cbs;pn;energy;cycles;
2048;2048;32768;1;2;2;1;16;2;4.04881;1.21586e+09;
2048;2048;32768;1;2;2;1;16;4;3.86767;5.71903e+08;
2048;2048;32768;1;2;2;1;16;8;3.14715;2.14544e+08;
2048;2048;32768;1;2;2;1;16;16;2.78587;8.93624e+07;
2048;2048;32768;1;2;2;2;16;2;3.49242;6.95759e+08;
2048;2048;32768;1;2;2;2;16;4;3.38503;3.29876e+08;
2048;2048;32768;1;2;2;2;16;8;2.99312;1.32269e+08;
2048;2048;32768;1;2;2;2;16;16;2.72561;5.50178e+07;
2048;2048;32768;1;2;2;4;16;2;4.51827;4.14541e+08;
2048;2048;32768;1;2;2;4;16;4;4.41154;1.94358e+08;
2048;2048;32768;1;2;2;4;16;8;4.33556;9.24371e+07;
2048;2048;32768;1;2;2;4;16;16;4.03694;3.73051e+07;
2048;2048;32768;1;2;2;8;16;2;10.7402;1.9099e+08;
2048;2048;32768;1;2;2;8;16;4;10.7415;9.55364e+07;
2048;2048;32768;1;2;2;8;16;8;10.6504;4.4369e+07;
2048;2048;32768;1;2;2;8;16;16;10.8567;2.59126e+07;
2048;2048;32768;1;2;4;1;16;2;2.95647;7.78811e+08;
2048;2048;32768;1;2;4;1;16;4;2.52219;3.03545e+08;
2048;2048;32768;1;2;4;1;16;8;2.36207;1.35981e+08;
2048;2048;32768;1;2;4;1;16;16;2.14544;5.73249e+07;
2048;2048;32768;1;2;4;2;16;2;2.86295;4.82465e+08;
2048;2048;32768;1;2;4;2;16;4;2.552;1.89741e+08;
2048;2048;32768;1;2;4;2;16;8;2.44292;8.59012e+07;
2048;2048;32768;1;2;4;2;16;16;2.30873;3.74348e+07;
2048;2048;32768;1;2;4;4;16;2;4.07165;3.0422e+08;
2048;2048;32768;1;2;4;4;16;4;3.88165;1.29432e+08;
2048;2048;32768;1;2;4;4;16;8;3.81118;6.05972e+07;
2048;2048;32768;1;2;4;4;16;16;3.81453;3.04003e+07;
2048;2048;32768;1;2;4;8;16;2;10.439;1.45157e+08;
2048;2048;32768;1;2;4;8;16;4;10.4146;7.08356e+07;
2048;2048;32768;1;2;4;8;16;8;10.4604;3.70942e+07;
2048;2048;32768;1;2;4;8;16;16;10.5233;1.96621e+07;
2048;2048;32768;1;2;8;1;16;2;2.9395;7.48828e+08;
2048;2048;32768;1;2;8;1;16;4;2.63716;3.14538e+08;
2048;2048;32768;1;2;8;1;16;8;2.41223;1.3513e+08;
2048;2048;32768;1;2;8;1;16;16;2.18076;5.62113e+07;
2048;2048;32768;1;2;8;2;16;2;2.82316;4.49654e+08;
2048;2048;32768;1;2;8;2;16;4;2.56069;1.81329e+08;
2048;2048;32768;1;2;8;2;16;8;2.44944;8.15656e+07;
2048;2048;32768;1;2;8;2;16;16;2.29947;3.46468e+07;
2048;2048;32768;1;2;8;4;16;2;3.98377;2.6871e+08;
2048;2048;32768;1;2;8;4;16;4;3.83163;1.16152e+08;
